OBJECTID,fclass,Shape_Length
1,8,0.153483714228
2,8,0.153424468496
3,8,0.21654356495
4,8,0.0190316001513
5,8,0.0141771559559
6,8,0.0148783857329
7,8,0.216599430986
8,8,0.0106066997328
9,8,0.0123860182157
10,8,0.0146171241531
11,8,0.00970922851202
12,7,0.00363912444789
13,8,0.00526815407197
14,8,0.0110177475471
15,8,0.0138030407629
16,8,0.0147612652565
17,8,0.0120200896131
18,8,0.00849881004949
19,8,0.00294291460154
20,8,0.00314264543704
21,8,0.0170386538557
22,8,0.019985000224
23,8,0.00629562481146
24,8,0.00823082718456
25,8,0.0071713351615
26,8,0.00429116373573
27,1,0.00144581209797
28,8,0.00540984184688
29,1,0.0535625034064
30,7,0.263143177413
31,7,0.161519253926
32,5,0.00586687716839
33,5,0.000731866202968
34,7,0.0908344914585
35,7,0.131433981569
36,5,0.0413828453773
37,5,0.00137279847931
38,5,0.00537237545323
39,7,0.00567950190899
40,4,0.0325340556731
41,7,0.00734090316239
42,7,0.0296094953083
43,7,0.0295612856286
44,7,0.0575482144833
45,7,0.0575318487362
46,7,0.00177122171497
47,7,0.238564538977
48,7,0.112036061349
49,7,0.112092035152
50,7,0.158396422008
51,7,0.158081309536
52,7,0.238965868972
53,1,0.027765691342
54,7,0.189635627784
55,7,0.189743236907
56,7,0.0055467360063
57,7,0.00557858375547
58,7,0.00332596342297
59,7,0.077242920444
60,7,0.000587705114442
61,7,0.000672557085736
62,7,0.000689635618085
63,7,0.00924394399021
64,4,0.0698226634182
65,4,0.00743825515993
66,4,0.034898032411
67,5,0.0737396097356
68,4,0.0374236685591
69,4,0.031627947897
70,5,0.0346024905189
71,5,0.0345988716048
72,1,0.00966514348363
73,4,0.00599740248301
74,4,0.0112623407866
75,4,0.0243598769543
76,4,0.0489210970389
77,4,0.0066233032217
78,4,0.015879827453
79,1,0.00766820838008
80,4,0.0312391679474
81,4,0.0119219754452
82,1,0.0078738462554
83,1,0.00275880268925
84,4,0.00743333284889
85,4,0.00644496544402
86,1,0.00716268833693
87,4,0.00294640520372
88,4,0.0322529971786
89,1,0.00821418560729
90,1,0.021891432253
91,4,0.0323677668509
92,4,0.0241351508692
93,4,0.0228779353876
94,4,0.010455312252
95,4,0.00465216574363
96,4,0.00928863868524
97,4,0.009287937576
98,4,0.0191100441258
99,4,0.0191060906198
100,4,0.00909690899086
101,4,0.0136994855894
102,4,0.0279395118084
103,4,0.0604403221811
104,4,0.0242767215187
105,4,0.067729602961
106,4,0.0127930955294
107,4,0.0129874698001
108,1,0.00450422022871
109,1,0.0061366546075
110,1,0.00489060309755
111,1,0.00215946685961
112,1,0.00750895869524
113,4,0.0127239152451
114,4,0.0127458760734
115,4,0.00584758680535
116,1,0.00585691886316
117,4,0.0567222273673
118,4,0.034660378429
119,4,0.0386423670744
120,4,0.0210101990725
121,1,0.0151564670124
122,4,0.0235216236762
123,5,0.0382955066889
124,5,0.0382949269526
125,4,0.000925471213373
126,4,0.0368525685476
127,5,0.0231451186555
128,5,0.0383302477483
129,5,0.0383299562047
130,4,0.0238561610427
131,4,0.0124150537939
132,4,0.00466681570488
133,4,0.00601391052634
134,4,0.00969016752195
135,4,0.00778250576522
136,5,0.0233002497774
137,5,0.0232722452736
138,5,0.0382453456596
139,5,0.0327162630276
140,7,0.0491148555347
141,7,0.0491160113264
142,5,0.018343303737
143,5,0.0183908208292
144,5,0.00290083421658
145,5,0.0580193447684
146,5,0.0579796501845
147,4,0.0106942448131
148,4,0.0133246468072
149,4,0.0302843272771
150,4,0.0302208361093
151,4,0.0302942003325
152,5,0.0191768092363
153,5,0.0434403200831
154,5,0.0635804032691
155,5,0.00115816130711
156,1,0.0707451609145
157,1,0.0574137684428
158,4,0.0184497535186
159,4,0.0184498501101
160,5,0.0980667469829
161,5,0.0980172806848
162,4,0.0106399199438
163,4,0.00341136748813
164,4,0.00341014605441
165,4,0.0297802161976
166,5,0.0197610009489
167,5,0.0197610994346
168,4,0.0133310897833
169,4,0.0133311887255
170,4,0.00832832984836
171,4,0.00832843057192
172,4,0.0270254343133
173,5,0.0104156215509
174,5,0.0104455214445
175,5,0.0680739431425
176,5,0.0588687841876
177,1,0.035271019089
178,7,0.316540229586
179,5,0.00091525255152
180,5,0.000697524970866
181,5,0.0187051398937
182,5,0.0187532362578
183,7,0.221761238061
184,7,0.221813687639
185,1,0.0339351436084
186,1,0.033835536657
187,1,0.0115463147864
188,7,0.0024327910822
189,7,0.00251456112793
190,4,0.0200053477668
191,4,0.00864467832601
192,4,0.00988765925452
193,4,0.00530562710862
194,4,0.0308661775214
195,4,0.028696945893
196,4,0.0185376405052
197,4,0.0185307038309
198,1,0.00263320430542
199,1,0.00263470426482
200,1,0.00576801448154
201,4,0.0104501081353
202,1,0.00441683498886
203,1,0.00970662243094
204,4,0.0128226404345
205,4,0.019066432719
206,4,0.0190663417332
207,1,0.00579216485441
208,4,0.0396068476261
209,4,0.0403373451603
210,1,0.0114899409949
211,1,0.0190504556649
212,1,0.00549305786754
213,1,0.00135366285584
214,1,0.00297839613197
215,1,0.00668709873182
216,1,0.00541573922166
217,1,0.00672299458736
218,4,0.0115125734658
219,4,0.010552298128
220,4,0.00516810318847
221,1,0.00209151123901
222,4,0.000495909148616
223,1,0.000973652159593
224,1,0.00117608558244
225,1,0.00449088482898
226,4,0.00546319481551
227,1,0.00882240653693
228,1,0.00596040802033
229,1,0.00342430425416
230,1,0.00883131725911
231,4,0.0129222108408
232,1,0.004062249407
233,1,0.00402927531145
234,4,0.00624584842841
235,1,0.0124235295224
236,4,0.0304973910457
237,1,0.0101805468666
238,1,0.00573863771154
239,1,0.00576925916507
240,1,0.00588557127939
241,1,0.00371727671345
242,1,0.00576481086296
243,1,0.00140386427875
244,4,0.00804940181275
245,4,0.013312512911
246,4,0.00376805949436
247,1,0.0163939530696
248,4,0.0191812078911
249,1,0.0046890102365
250,4,0.0112456929819
251,1,0.0056253306184
252,1,0.00581637449674
253,4,0.0139363958316
254,4,0.00585102810175
255,4,0.00584909947256
256,1,0.00229242521468
257,1,0.00745025858963
258,1,0.00393683693876
259,1,0.00423857138165
260,1,0.000266502867514
261,1,0.00736040710519
262,3,0.00443119897627
263,1,0.00215932563848
264,1,0.00027070265241
265,1,0.00194375359275
266,1,0.00195295413689
267,3,0.00269653206569
268,1,0.00553802651617
269,3,0.0050262127223
270,1,0.00173911832471
271,1,0.0018071956856
272,1,0.0104637971074
273,1,0.00314399394986
274,1,0.00568884585146
275,1,0.00738586223937
276,1,0.0047192879037
277,3,0.00158585474898
278,3,0.000455321850756
279,1,0.0208446085029
280,1,0.0118614801646
281,1,0.00560513281462
282,4,0.0213149167794
283,1,0.00474747688839
284,4,0.00815156561613
285,4,0.00815234322837
286,1,0.00358601871228
287,1,0.00310395919018
288,1,0.00557017177771
289,1,0.00608066709072
290,4,0.0447502786765
291,4,0.000553863089751
292,4,0.0339391146265
293,1,0.0225715845587
294,1,0.0381356511519
295,1,0.00550258006818
296,1,0.00456427090609
297,1,0.00389728403684
298,1,0.00256250311361
299,3,0.000651292885047
300,3,0.00165156577205
301,1,0.013338281863
302,4,0.0114378417882
303,4,0.00621358659687
304,4,0.00621358624505
305,4,0.00668294567257
306,4,0.0105725125166
307,7,0.00981865626453
308,5,0.00986292817755
309,4,0.0146072702441
310,4,0.0146055705298
311,1,0.00666110261421
312,1,0.00278334977294
313,1,0.00689826673482
314,1,0.00278983279481
315,1,0.00295147789109
316,1,0.0113479039385
317,4,0.0022849017101
318,1,0.00390895038992
319,1,0.00123704555198
320,4,0.0133794876527
321,1,0.0143126146297
322,1,0.00231796611134
323,1,0.0101007339501
324,4,0.00335374204943
325,4,0.00334992996837
326,4,0.0210251166769
327,4,0.0212673517155
328,4,0.0212519296565
329,1,0.0025206069766
330,3,0.00294762734062
331,1,0.00605603923584
332,4,0.00542506057507
333,4,0.00542526022234
334,4,0.0155556551387
335,4,0.0155596483471
336,5,0.0842174303158
337,4,0.0265877774978
338,4,0.026588277547
339,4,0.0177411691217
340,4,0.017721458113
341,4,0.0342941650604
342,4,0.0342667839173
343,4,0.0172992297567
344,1,0.00820726519412
345,1,0.00568032399063
346,1,0.00145121610675
347,1,0.00699005090691
348,1,0.00139439965064
349,1,0.00625119260768
350,3,0.00286266628367
351,3,0.000579763979876
352,3,0.000577473017054
353,3,0.000866559429718
354,3,0.000868031260964
355,3,0.000969514866259
356,1,0.00171381226716
357,1,0.00111608552374
358,3,0.00107627388262
359,3,0.00107124366542
360,1,0.000839753451956
361,1,0.0010596417829
362,1,0.00275003256526
363,1,0.00296415675576
364,1,0.00168117078421
365,1,0.00168269710663
366,3,0.000708798664553
367,1,0.000973364880273
368,1,0.00202153190439
369,1,0.0036861943663
370,1,0.00341291081947
371,1,0.000186003735497
372,1,0.00415293656503
373,1,0.00244600792986
374,1,0.00163474770849
375,1,0.00164361712404
376,1,0.00428246603338
377,1,0.00394917694884
378,1,0.00216609729676
379,1,0.00533969796245
380,1,0.00541902669216
381,1,0.0106550877688
382,1,0.003941583238
383,1,0.00665346467777
384,1,0.00547807557126
385,4,0.00678237930377
386,4,0.0176240763601
387,4,0.00273981044323
388,4,0.0046698253523
389,3,0.00141899653517
390,3,0.00142014912529
391,3,0.00069684287129
392,3,0.000696943589018
393,3,0.000315619383657
394,3,0.00328398733559
395,3,0.000513632867684
396,3,0.000519532058493
397,3,0.0102912237343
398,1,0.00451942063536
399,1,0.00290190209026
400,4,0.0209117568879
401,4,0.00429440194407
402,1,0.00412794689501
403,1,0.00284927404059
404,1,0.00498867755902
405,1,0.00505230874103
406,1,0.00141021689101
407,1,0.00514549483337
408,1,0.0180245261765
409,1,0.00090047547562
410,1,0.00737233713089
411,1,0.00167980665164
412,1,0.00175468818633
413,4,0.00644337043608
414,4,0.00574395766535
415,1,0.00505870417424
416,4,0.00964731941079
417,1,0.00291180361261
418,1,0.0274489985744
419,1,0.0143061357617
420,1,0.00465466526266
421,4,0.0282776040624
422,3,0.00951503327699
423,1,0.00236783928249
424,1,0.00360260259
425,1,0.00171282960984
426,1,0.00620582693442
427,1,0.000460908662193
428,1,0.00907168709214
429,1,0.0108669461254
430,1,0.00249654404536
431,3,0.00100463203862
432,3,0.000645421952013
433,3,0.00131596793572
434,1,0.00243064500504
435,3,0.000691600591052
436,3,0.00207364341964
437,3,0.00196141701491
438,3,0.000899753966636
439,3,0.00256791672883
440,3,0.00204761700015
441,3,0.00118340032289
442,3,0.00128550236522
443,3,0.0012660669995
444,3,0.00118782523435
445,3,0.00118728930589
446,3,0.000811280770917
447,3,0.00142676848345
448,3,0.00604829721813
449,3,0.000286611342895
450,3,0.000813634916429
451,3,0.000714865864185
452,1,0.00430467162934
453,3,0.00148870644691
454,3,0.00283819030433
455,3,0.000328301445156
456,3,0.00024933866044
457,3,0.00205731394648
458,3,0.00199520722724
459,3,0.00199740053702
460,3,0.000680600970525
461,3,0.00375559883025
462,3,0.00123220049238
463,3,0.00231474143574
464,3,0.00196495892043
465,3,0.00202131101125
466,3,0.000756202725889
467,3,0.00180721177327
468,3,0.00170361216446
469,3,0.000886431419439
470,3,0.000962426000276
471,3,0.00128844634743
472,3,0.0020089308588
473,3,0.00139549286428
474,3,0.00127594622707
475,3,0.00170816189159
476,3,0.00472340901866
477,3,0.00160222596115
478,3,0.00406056218797
479,3,0.00371456883386
480,1,0.00189936630277
481,3,0.00103521089728
482,3,0.0010348112656
483,1,0.00303733575478
484,1,0.00276001745627
485,1,0.00741113074686
486,2,0.00526670070926
487,1,0.000990647340591
488,1,0.0113988822003
489,3,0.000704002141388
490,3,0.00113021246065
491,3,0.00188610001449
492,3,0.00275870340715
493,3,0.0027532364275
494,3,0.00361768527099
495,1,0.00297969413941
496,1,0.0026403343247
497,1,0.00192449971587
498,1,0.00106157908623
499,1,0.00326356014424
500,3,0.00192282858776
501,3,0.00229200207075
502,3,0.00263030024814
503,3,0.000590208551633
504,3,0.00358251235933
505,3,0.000989967792015
506,3,0.00260985665191
507,3,0.000496500158966
508,3,0.000680435102354
509,1,0.00379830571372
510,1,0.00293010079654
511,1,0.00837501587418
512,3,0.00140303549842
513,3,0.00336432141801
514,3,0.0011227041019
515,3,0.00050590145181
516,3,0.00455771572699
517,3,0.00119440583478
518,3,0.00231771007619
519,3,0.00231801045198
520,3,0.00231840974284
521,3,0.0029829137256
522,3,0.00298331391539
523,3,0.00298361309175
524,3,0.0077362302542
525,3,0.0029601130157
526,3,0.00295961268941
527,3,0.00295901315206
528,3,0.00295891332488
529,3,0.00295941334213
530,3,0.00295981234123
531,3,0.00296011301667
532,3,0.000520905445653
533,3,0.000521405467569
534,3,0.000307601832672
535,3,0.00338492672186
536,3,0.00305643075707
537,3,0.000429704801972
538,3,0.00295561645435
539,3,0.00105989982621
540,3,0.00110490009281
541,3,0.00134180083286
542,3,0.000192902182808
543,3,0.00172508605257
544,3,0.000246201503055
545,3,0.00189696495031
546,1,0.000870516103609
547,1,0.000869415353082
548,1,0.0021662369401
549,1,0.00216623752771
550,1,0.00216613770468
551,1,0.00216623783946
552,1,0.00685353432009
553,3,0.00140320414572
554,3,0.000181100325336
555,3,0.000548879802299
556,3,0.000389203020071
557,3,0.000389103192708
558,3,0.00442180768337
559,3,0.000503105364231
560,3,0.000502906203311
561,3,0.000377004597497
562,3,0.00141720707237
563,3,0.00648867975742
564,3,0.00149648214975
565,3,0.0014388102737
566,3,0.00054714457825
567,3,0.000536597038232
568,3,0.00204650405303
569,3,0.00773409181802
570,1,0.00214341503103
571,1,0.00313720247349
572,1,0.0104210771765
573,1,0.00356336329296
574,1,0.00631386646304
575,1,0.00379008805439
576,1,0.00693841779749
577,1,0.00051799980136
578,1,0.012699210632
579,1,0.00787373982995
580,1,0.00144445561928
581,1,0.00186245792403
582,1,0.0136414671277
583,1,0.0159329761647
584,1,0.00717378822326
585,4,0.0303699786342
586,4,0.0282259131544
587,1,0.0109388320086
588,1,0.00545765162969
589,1,0.00351977402071
590,1,0.00294221132878
591,3,0.000360193750609
592,3,0.00504731098177
593,3,0.00298782769911
594,1,0.00851121900411
595,3,0.000774220461878
596,3,0.000799437255334
597,3,0.00305974919565
598,3,0.00131494094863
599,3,0.00176088229565
600,3,0.0027372864046
601,3,0.00104980254725
602,3,0.00578842150835
603,3,0.00175310773637
604,3,0.00175390783053
605,3,0.00262551125299
606,3,0.00262551125311
607,3,0.000696205507549
608,3,0.000678512202914
609,3,0.000913104272959
610,3,0.00132542489985
611,3,0.000992500776544
612,3,0.00138340712004
613,3,0.000493205737678
614,3,0.000493105914085
615,3,0.00273542186565
616,3,0.00177666225645
617,3,0.000805703801999
618,3,0.00237922136097
619,1,0.00579965191871
620,3,0.000620811239818
621,3,0.00331462967497
622,3,0.000107100450193
623,3,0.000382800667282
624,3,0.000387201455449
625,1,0.0114172330909
626,3,0.0046338925251
627,3,0.000140100878653
628,3,0.000167000684655
629,3,0.0049316880223
630,3,0.00128000342849
631,3,0.00160471325291
632,3,0.000414403492603
633,3,0.00253560413295
634,3,0.00122240855027
635,3,0.00142705003239
636,3,0.000307204688432
637,3,0.000307205587793
638,3,0.00222319788102
639,3,0.00018290235508
640,3,0.00176932245946
641,3,0.00149812550264
642,3,0.00160181555671
643,3,0.00137292803433
644,3,0.00167589861692
645,3,0.00261955373624
646,3,0.00213874166365
647,3,0.00052690362407
648,3,0.00462852051558
649,1,0.00179611092578
650,1,0.00227916889077
651,1,0.00402693966622
652,3,0.0005968296743
653,3,0.000569902737707
654,3,0.00348695735873
655,3,0.00158838246953
656,3,0.00304350511282
657,1,0.0027484503005
658,3,0.000496123501135
659,3,0.00219394240923
660,3,0.000438578096135
661,3,0.00268809104457
662,1,0.00320348176048
663,1,0.00110766024208
664,1,0.00280029309597
665,1,0.00760137295176
666,1,0.000962249856992
667,1,0.00688098731033
668,3,0.000858401337113
669,1,0.0026862106695
670,1,0.0018897552299
671,1,0.00302318005966
672,1,0.00466734898157
673,3,0.00114703129243
674,3,0.00314974522633
675,3,0.000839641339189
676,1,0.00216927255089
677,3,0.000247837395419
678,3,0.00365176872509
679,1,0.0107658908333
680,1,0.00286640673758
681,3,0.00293597725782
682,3,0.000331810558573
683,3,0.00200484971346
684,3,0.00186987396949
685,3,0.00211069644386
686,3,0.0213141493847
687,3,0.0154095519749
688,1,0.0129185221707
689,3,0.0183175822803
690,3,0.00475536403796
691,3,0.00741661336879
692,3,0.00191941408074
693,3,0.000976151094806
694,3,0.00293396515575
695,3,0.0029830781696
696,3,0.0045732006904
697,3,0.00629482821393
698,3,0.00145182190413
699,3,0.0023437882548
700,3,0.0056550485826
701,3,0.00139370832626
702,1,0.00211933325289
703,3,0.00150178558947
704,3,0.0140684426102
705,3,0.00148752233881
706,3,0.00874635206958
707,3,0.000336307362253
708,5,0.00259587287958
709,3,0.00110643414578
710,3,0.000329426854483
711,3,0.00106416864288
712,3,0.00265874583753
713,3,0.00139546598711
714,3,0.000729198922084
715,3,0.000720077956144
716,3,0.000955318570716
717,3,0.000754817323848
718,1,0.000778281591594
719,1,0.00186600775077
720,3,0.000461301881941
721,1,0.00179418927684
722,3,0.000815600401811
723,3,0.0011744008719
724,3,0.00049082211291
725,3,0.00137854734049
726,3,0.00155050280565
727,3,0.00151330611154
728,3,0.000932014879885
729,1,0.00643481195162
730,1,0.00489604020387
731,3,0.00187023422694
732,3,0.00104229313678
733,3,0.0020709181508
734,1,0.0354120175524
735,1,0.00616390624501
736,1,0.00438066969453
737,1,0.000573106527482
738,1,0.0173970568234
739,1,0.00463506247003
740,4,0.0112897685232
741,1,0.00819068447507
742,1,0.0129277738196
743,1,0.0045928499144
744,1,0.000405408550934
745,1,0.00231906276258
746,1,0.00225566715134
747,1,0.0023106898709
748,1,0.00307222114722
749,1,0.00407800036251
750,3,0.00171527956374
751,3,0.00175272629206
752,1,0.0020744012432
753,1,0.00352002074007
754,1,0.00346634086842
755,3,0.000985333276887
756,3,0.0031864555811
757,3,0.0020915683288
758,3,0.0034976840833
759,3,0.00227608131463
760,3,0.00107542638307
761,3,0.00162946280132
762,3,0.000379118409308
763,3,0.000489458111126
764,1,0.00594150738672
765,3,0.000320443531492
766,1,0.00384190001081
767,3,0.00034888161153
768,3,0.000499821045794
769,3,0.00151353854188
770,3,0.00105860007911
771,3,0.00193400015871
772,3,0.00193480055541
773,3,0.00193550022789
774,3,0.00342060902745
775,3,0.000720199605452
776,3,0.0024965313342
777,3,0.00195050907403
778,3,0.00121801328426
779,3,0.000503612724224
780,3,0.00153061582588
781,3,0.000645225792377
782,3,0.00654773103946
783,3,0.00154464844741
784,3,0.00464917478007
785,3,0.00201588748276
786,3,0.00201942168614
787,3,0.00202090167793
788,1,0.00315294611919
789,1,0.00347571562726
790,1,0.00788968106942
791,4,0.0330500393343
792,4,0.0329793786109
793,1,0.00461753003057
794,3,0.00106501965501
795,3,0.000953458083967
796,3,0.000735739110567
797,3,0.00884863437045
798,3,0.0014498198904
799,3,0.00101872189338
800,3,0.00112790003254
801,3,0.000938839899965
802,3,0.00139180346989
803,3,0.00143432646389
804,3,0.00065120092178
805,3,0.00121261846287
806,3,0.000462906694367
807,3,0.00267983493286
808,3,0.00037873709845
809,3,0.00181357596571
810,1,0.00335125711771
811,1,0.00745144874585
812,1,0.00663870593525
813,1,0.0038593836621
814,1,0.00327848199536
815,3,0.00252575186852
816,3,0.000980565089749
817,1,0.00580569635331
818,1,0.00253998815964
819,1,0.0018708735324
820,5,0.0272441984153
821,5,0.0272275282728
822,1,0.0023423934054
823,1,0.00128081694509
824,1,0.00296808761904
825,1,0.00352142297371
826,1,0.00368695460091
827,1,0.00284030313212
828,1,0.00161008270757
829,1,0.00842100533019
830,3,0.000775468082238
831,3,0.00131368361919
832,3,0.000829788977967
833,3,0.00126442694643
834,3,0.00378950326451
835,3,0.000434832933824
836,3,0.000917905739274
837,3,0.000434701951159
838,3,0.000407401308892
839,1,0.00696323075948
840,1,0.000725195429257
841,1,0.00403284344248
842,1,0.00483973813955
843,1,0.00436096927745
844,1,0.0220131779786
845,1,0.00402402004136
846,4,0.0121331129622
847,1,0.0164665617448
848,3,0.00246756124693
849,3,0.00489730186126
850,1,0.00461974309229
851,1,0.00196459466056
852,3,0.00136155563978
853,3,0.000597001967503
854,3,0.000749104702689
855,3,0.00262430156623
856,1,0.00226033461513
857,1,0.00204244861019
858,1,0.00351384050911
859,1,0.00278578668588
860,3,0.000220903736771
861,3,0.00303411886059
862,3,0.00665901376922
863,1,0.00156891618411
864,1,0.00400417588591
865,1,0.00253312051053
866,1,0.00593424848712
867,1,0.00380963547474
868,1,0.00383274930076
869,1,0.00223354305976
870,1,0.00368664260053
871,1,0.0071784187332
872,1,0.00328900358474
873,1,0.00336073359458
874,1,0.00722692197264
875,3,0.00151398651745
876,3,0.000989443583726
877,3,0.000557411458632
878,3,0.000826999715176
879,3,0.00184405149828
880,3,0.00216186630143
881,3,0.00278695025993
882,1,0.00488275972788
883,1,0.00103741828186
884,1,0.00840164016929
885,1,0.00331472872983
886,1,0.00887572059406
887,1,0.00263761311724
888,1,0.00430321801038
889,1,0.000610646255384
890,1,0.00241006658059
891,1,0.00231820797787
892,1,0.00672987237223
893,1,0.00626635146421
894,1,0.00330683173448
895,1,0.00169187226422
896,1,0.00185979197996
897,3,0.00561878115015
898,3,0.0116980165745
899,1,0.00129907853061
900,1,0.00486679176668
901,1,0.00483600950457
902,1,0.00752653662137
903,1,0.00371619926425
904,1,0.00198919540043
905,3,0.000457300258008
906,3,0.00458690917354
907,3,0.0011280009918
908,3,0.0047738780689
909,3,0.000838007716175
910,3,0.00069120091397
911,3,0.00135277434624
912,3,0.00110297139413
913,3,0.00132769971356
914,3,0.000552982288206
915,3,0.00159872314783
916,3,0.000886537417695
917,3,0.000650355325622
918,1,0.00392088594168
919,1,0.0039391789552
920,1,0.00197860787722
921,1,0.002137388951
922,3,0.00154837181128
923,3,0.00173855813154
924,3,0.00197681397368
925,1,0.00297229632075
926,3,0.00107245033177
927,3,0.000845452351884
928,3,0.00076700783515
929,3,0.000686005819765
930,1,0.00130520570519
931,1,0.00208382429227
932,3,0.000871497734104
933,3,0.00178852242204
934,3,0.00183895854558
935,3,0.000962407606086
936,3,0.00136842798781
937,1,0.00125118184469
938,3,0.000888323016465
939,3,0.000343008741224
940,3,0.00200422238665
941,3,0.00221322498602
942,3,0.00109589420649
943,3,0.000745611819149
944,3,0.000296704036191
945,3,0.00126893506866
946,3,0.00164243216909
947,3,0.00092820071503
948,3,0.00163683889922
949,3,0.00133310195905
950,3,0.00360803047754
951,3,0.00328424359466
952,3,0.00369573516574
953,3,0.00679492341547
954,3,0.00346787782375
955,3,0.000831087183223
956,3,0.000492107436287
957,3,0.00231352287311
958,1,0.0190996755023
959,3,0.00105682696022
960,1,0.00385016895261
961,1,0.0022299399544
962,1,0.0022247159185
963,1,0.00212490137593
964,1,0.00200004852586
965,1,0.00238412426983
966,1,0.000659976137606
967,1,0.00307811975957
968,1,0.00304160225203
969,3,0.000249369981437
970,3,0.00158424788583
971,1,0.00249993594076
972,1,0.00214235791863
973,3,0.00103983696179
974,3,0.00092522740749
975,3,0.000921184749243
976,3,0.00381353374585
977,3,0.000812100705943
978,3,0.00132922577334
979,3,0.00178473762523
980,3,0.000709631826359
981,1,0.00176665091969
982,3,0.00312659316759
983,3,0.00154362197441
984,3,0.00802992096196
985,3,0.000778202387595
986,3,0.00238275341561
987,1,0.00707938646863
988,1,0.00126945196842
989,1,0.00145896929368
990,1,0.00144385130029
991,1,0.00260227639861
992,1,0.00252548017753
993,1,0.000847676845511
994,1,0.00281474711189
995,1,0.000524370009309
996,1,0.000766835215381
997,1,0.000804904861268
998,1,0.000965108114159
