OBJECTID,fclass,Shape_Length
1,7,0.164958021638
2,7,0.120680738187
3,7,0.145807356564
4,7,0.242909657525
5,5,0.0545384561724
6,5,0.0119957610986
7,5,0.0176812736093
8,4,0.00497504333717
9,4,0.00785983891764
10,7,0.0347308861147
11,4,0.00421956015763
12,7,0.165112029084
13,4,0.0582806251399
14,7,0.0577865703268
15,7,0.170226914272
16,5,0.0839612823507
17,4,0.103789906686
18,8,0.00612866064258
19,8,0.00473108189447
20,8,0.0126609699755
21,8,0.0126284345181
22,8,0.306890285579
23,8,0.306970529183
24,8,0.0127347034727
25,8,0.00639813815279
26,8,0.00806462925125
27,8,0.00387321268007
28,4,0.00440474774591
29,7,0.0243055582653
30,1,0.00946584351931
31,4,0.0626071336972
32,1,0.0159591594113
33,5,0.0585941482994
34,1,0.0118578203069
35,4,0.0116512888873
36,2,0.00501744266765
37,4,0.00238650838919
38,4,0.0188541043449
39,5,0.0179706547616
40,4,0.00435417257707
41,4,0.0135112525291
42,7,0.026042997251
43,5,0.0159983675364
44,5,0.017949448657
45,4,0.00830802185779
46,4,0.00842488596885
47,4,0.129443403407
48,7,0.158923144416
49,4,0.00460810438893
50,5,0.121556757376
51,4,0.00291612870565
52,4,0.0109314797518
53,4,0.0106428590592
54,2,0.00349403858624
55,4,0.00384649090326
56,4,0.00972207455918
57,4,0.0127765984288
58,4,0.0108270129865
59,4,0.00441490334461
60,2,0.00616163355801
61,4,0.00242583548161
62,4,0.00593818167918
63,4,0.00368659873916
64,1,0.00604963284014
65,4,0.00694735453869
66,4,0.00100105861784
67,4,0.00924859968467
68,2,0.00356293357793
69,1,0.00501849379679
70,4,0.0112495071447
71,4,0.00398493086845
72,7,0.0675974688138
73,4,0.00868530681689
74,4,0.00268112458208
75,4,0.00959881084817
76,4,0.0220002268667
77,7,0.0850661659952
78,4,0.000948347869458
79,5,0.0824861097979
80,4,0.00344413976772
81,4,0.00883533363788
82,3,0.000821784498692
83,3,0.011073211156
84,3,0.00101383763834
85,3,0.0038663592812
86,3,0.00334118447146
87,3,0.00243354021851
88,3,0.00235592219054
89,2,0.00973707407487
90,1,0.00993279070092
91,4,0.11470739442
92,1,0.00301138718325
93,1,0.0104014480289
94,4,0.0164290757697
95,1,0.00553536274055
96,4,0.0178457768507
97,4,0.034844545565
98,5,0.0748874823607
99,4,0.0157929181131
100,7,0.0783599417321
101,7,0.0599762382687
102,7,0.165745787897
103,7,0.0492089724847
104,7,0.287972831818
105,2,0.00163246211202
106,7,0.142093142261
107,7,0.170334881371
108,3,0.00401500320445
109,4,0.0844254663484
110,5,0.0218709708247
111,7,0.00345237560516
112,7,0.00605780704029
113,8,0.00857821694051
114,8,0.00327928268305
115,8,0.00774810696909
116,8,0.0173076426305
117,8,0.00438693762931
118,8,0.270660444355
119,8,0.270751056471
120,8,0.0038565532822
121,8,0.00433786979128
122,8,0.0130210713438
123,8,0.00739839725765
124,8,0.0111101925195
125,8,0.00947158552537
126,8,0.0102683408302
127,8,0.0134591887541
128,8,0.00669790475089
129,8,0.00454925387432
130,8,0.00394258193747
131,8,0.00443076187728
132,8,0.00453275537839
133,8,0.011602213134
134,8,0.0091883148897
135,8,0.00674375355749
136,8,0.0098845960405
137,8,0.00474719477803
138,8,0.000497447120429
139,7,0.000430782833037
140,7,0.171564373679
141,4,0.0155757808667
142,3,0.00439106444545
143,3,0.0015154721323
144,3,0.00120886624862
145,3,0.00712478740386
146,5,0.0646187172804
147,5,0.0643987848082
148,7,0.0782776918744
149,7,0.0308471857939
150,3,0.0028993928458
151,4,0.0491858960896
152,1,0.00640570907443
153,4,0.0115611036254
154,1,0.0021897865958
155,7,0.120513949014
156,7,0.120970279189
157,1,0.000101153160417
158,3,0.000869873160583
159,3,0.00120698671407
160,7,0.027356126505
161,1,0.000374440064798
162,1,0.000373997988258
163,1,0.000438300883934
164,1,0.000409597084016
165,7,0.00119964097102
166,1,0.00137671899693
167,1,0.000180930081683
168,7,0.0279847597423
169,7,0.114716069766
170,1,0.000431347717311
171,7,0.00112337872791
172,1,0.000673591814488
173,5,0.0118626629997
174,7,0.00421613588606
175,5,0.00994740479093
176,4,0.00229322593575
177,5,0.00180777730551
178,4,0.000500031472041
179,5,0.00492251055187
180,5,0.00161976628737
181,5,0.00497819173714
182,5,0.00383960813347
183,5,0.0145298636221
184,4,0.0865491662225
185,7,0.000989751035109
186,7,0.00106638876427
187,5,9.47656407023e-05
188,7,0.000261942494443
189,7,0.0169959176056
190,7,0.000112654431215
191,1,0.0017312858303
192,7,0.000107170279454
193,5,0.0281959570061
194,5,0.0280928632904
195,3,0.000621303737536
196,1,0.00658092695474
197,3,0.00133742049838
198,3,0.00132750963877
199,1,0.00127411933684
200,1,0.024441447078
201,1,0.00198514935942
202,1,0.0083064432217
203,1,0.00038540831522
204,1,0.00119886478992
205,1,0.00032621860645
206,1,0.0062804723563
207,1,0.00567975994209
208,5,0.00974604737215
209,5,0.0098605833801
210,2,0.00109228626951
211,3,0.000597496850289
212,2,0.00143452144749
213,4,0.0710427766252
214,4,0.0288065619453
215,1,0.00321359598693
216,4,0.0124872538625
217,7,7.04080705535e-05
218,3,0.000669973624098
219,3,0.00053856481751
220,3,0.000252197517549
221,1,0.000592745300178
222,1,0.00331432780402
223,1,0.000361341448756
224,1,0.000734484160154
225,3,0.00181294934346
226,3,0.00120913085969
227,3,0.00112341262358
228,3,0.000364754454721
229,3,0.000351044534327
230,3,0.00359061613584
231,1,0.00173147280261
232,1,0.000935396782273
233,3,0.000879649890584
234,1,0.00138558374274
235,5,0.000923833019087
236,5,0.000626165190838
237,7,0.000847709768199
238,4,0.00220680840164
239,1,0.000326535677789
240,3,0.0015287485502
241,1,0.00500985936372
242,4,0.000293447157607
243,7,0.000111579447527
244,4,0.0188912766248
245,3,0.000938872409554
246,5,0.00197254196699
247,5,0.00318438505438
248,5,0.00318427284419
249,7,0.00358807243486
250,7,0.0030938278981
251,3,0.00110505027318
252,1,0.000529669137395
253,1,0.000697670589873
254,1,0.000703969034833
255,3,0.00157388846693
256,4,0.00240432690161
257,4,0.00785805089375
258,3,0.00103535181083
259,2,0.0073200988703
260,3,0.000651021915144
261,2,0.00439587876595
262,3,0.000972289139147
263,3,0.000974256669602
264,3,0.00179058483135
265,3,0.00248924940775
266,3,0.0029370992466
267,3,0.00066326823177
268,1,0.0113228359063
269,3,0.000155656470208
270,1,0.000156534131879
271,1,0.000964891528211
272,3,0.00182655624019
273,2,0.00117796080594
274,3,0.00358579458764
275,2,0.0139244633839
276,2,0.00825231212391
277,2,0.0020073935777
278,1,0.0134891267569
279,5,0.00227240255485
280,3,0.00497833267322
281,3,0.00140913596276
282,3,0.000675928020237
283,3,0.00330903439789
284,3,0.00300429642144
285,3,0.000859771409072
286,1,0.00030929380157
287,1,0.000308736161035
288,1,0.000506256940292
289,1,0.0104654671663
290,2,0.00483574852209
291,1,0.00450288295156
292,4,0.00746237592073
293,2,0.00107339371202
294,2,0.00512116155612
295,2,0.00150544844733
296,2,0.00118489890337
297,2,0.00358129646253
298,2,0.000605466428828
299,2,0.000920109573957
300,2,0.000978617408891
301,2,0.000510181488004
302,2,0.00853339457602
303,2,0.000686770595714
304,2,0.00147050100013
305,2,0.00108801469313
306,2,0.00223386857728
307,2,0.00190526413137
308,2,0.00243274634149
309,2,0.00076065646714
310,2,0.000849221934914
311,4,0.0557185005948
312,2,0.000375418644458
313,2,0.00184311364681
314,4,0.0415138764162
315,2,0.000771842276273
316,2,0.00057900985573
317,2,0.000569271231982
318,2,0.00182724283959
319,1,0.0072872358579
320,1,0.000602233312156
321,1,0.00106801228035
322,1,0.00062199613794
323,2,0.000877219554011
324,2,0.00475230771969
325,2,0.000853025433603
326,2,0.000892216197437
327,2,0.000932673763426
328,2,0.00558085073973
329,2,0.00316581046016
330,2,0.00335702254164
331,2,0.00138513911408
332,1,0.00664548702682
333,4,0.0204620653255
334,3,0.00212999350296
335,3,0.00042318657873
336,3,0.000790399242206
337,1,0.000338995074728
338,2,0.00457286654319
339,2,0.00108445285894
340,7,0.102144822553
341,7,0.000115772996033
342,3,0.00138197199993
343,3,0.00059121831974
344,3,0.00150399508256
345,3,0.0017454070619
346,3,0.00141985105702
347,1,0.0111977861168
348,3,0.00125185436504
349,1,0.00034620446927
350,1,0.00089703912347
351,3,0.000504891157665
352,1,0.000207580460001
353,1,0.00612096712099
354,5,0.042132159064
355,7,0.0243170873713
356,7,7.97186211362e-05
357,7,8.23085132599e-05
358,7,0.00129312262923
359,3,0.00054527903573
360,1,0.000234256805406
361,3,0.00175464560386
362,1,0.00107551739149
363,1,0.00113011114585
364,3,0.00167830322041
365,1,0.000811498772264
366,3,0.000478566373817
367,1,0.0114076687713
368,1,0.00224264385666
369,1,0.00039743927821
370,1,0.00564291589221
371,1,0.00407688383773
372,4,0.00929343617571
373,1,0.0049344521666
374,4,0.0607509655145
375,1,0.016811481399
376,4,0.0855658053772
377,1,0.02761238079
378,1,0.00571447315363
379,4,0.04901762396
380,4,0.0341311182414
381,1,0.0156932864538
382,4,0.0581291276889
383,4,0.0969731263194
384,4,0.0497468537938
385,4,0.017971487081
386,4,0.0595037535705
387,4,0.000383416250293
388,1,0.00141440278446
389,1,0.00197618886264
390,1,0.00113466364929
391,1,0.000676666202376
392,1,0.000300292044388
393,1,0.00049391155445
394,1,0.00143945376232
395,1,0.00299416565419
396,1,0.00265983799081
397,1,0.00167811227897
398,3,0.000756287839433
399,1,0.000962941637627
400,1,0.000157443962203
401,1,0.00474715969844
402,1,0.000343520273424
403,1,0.00123930883109
404,1,7.72368831629e-05
405,1,0.00100562135863
406,1,9.05576239864e-05
407,1,0.000261146873216
408,1,0.00101499958333
409,3,0.000320441640166
410,7,0.000252699341988
411,1,0.0108916206798
412,1,0.00417799946061
413,3,0.000773497025873
414,2,0.00721658028574
415,2,0.00842793276968
416,1,0.00754445962873
417,7,0.000123871345694
418,3,0.000861307842067
419,2,0.0090582552515
420,3,0.00120571306082
421,3,0.00115649228803
422,3,0.00131802544229
423,3,0.00124657434389
424,3,0.000887584610527
425,3,0.00184264180763
426,3,0.000688822875759
427,7,7.44682507245e-05
428,5,0.0658084469977
429,3,0.00349818237902
430,1,0.000230213571608
431,1,0.000294390747028
432,1,0.000165282587937
433,1,0.0174407232197
434,1,0.000165167076188
435,1,0.00276698187569
436,2,0.00380327388486
437,2,0.00539240203954
438,2,0.00120125408016
439,2,0.00538863128868
440,2,0.00110658102348
441,2,0.00211449126231
442,2,0.00460402491101
443,2,0.00170861138987
444,2,0.000628439538799
445,4,0.0526992974314
446,1,0.00166358996354
447,1,0.00193401070892
448,4,0.0127405436258
449,1,0.00237081919747
450,1,0.0089168657816
451,4,0.0321230845562
452,1,0.0123809431392
453,1,0.0322209928552
454,4,0.00333784003773
455,4,0.0421039447496
456,4,0.0323844654988
457,2,0.00443260882074
458,1,0.0109524471336
459,4,0.0192577415967
460,2,0.0089303353548
461,4,0.0282766411503
462,4,0.0473667806579
463,4,0.0508590962271
464,1,0.0110894691811
465,1,0.0028087870834
466,1,0.00421649919553
467,4,0.0419659778576
468,3,0.0023665539315
469,4,0.0279213992383
470,3,0.00180950865962
471,1,0.0125248812905
