OBJECTID,IN_FID,NEAR_FID
1,1,6
2,1,448
3,1,1090
4,2,22
5,2,31
6,2,448
7,2,852
8,2,1090
9,2,424
10,2,509
11,2,103
12,2,899
13,2,900
14,3,4
15,3,56
16,3,645
17,3,272
18,3,216
19,4,3
20,4,288
21,4,645
22,4,861
23,4,5
24,4,881
25,4,684
26,4,497
27,4,498
28,4,646
29,4,822
30,4,873
31,4,876
32,4,877
33,4,267
34,4,670
35,4,977
36,5,6
37,5,57
38,5,502
39,5,4
40,5,30
41,5,168
42,5,495
43,5,741
44,5,404
45,5,496
46,5,739
47,5,874
48,5,94
49,5,202
50,5,992
51,5,678
52,5,989
53,5,990
54,5,579
55,6,25
56,6,69
57,6,90
58,6,105
59,6,106
60,6,526
61,6,45
62,6,5
63,6,104
64,6,219
65,6,220
66,6,336
67,6,603
68,6,165
69,6,221
70,6,754
71,6,154
72,6,537
73,6,1
74,6,19
75,6,222
76,6,270
77,6,454
78,6,468
79,6,470
80,6,532
81,6,634
82,6,882
83,6,883
84,6,889
85,6,890
86,7,22
87,7,189
88,7,155
89,7,191
90,7,192
91,7,931
92,7,1083
93,7,1085
94,7,96
95,7,152
96,7,259
97,7,261
98,7,732
99,8,41
100,8,9
101,9,15
102,9,41
103,9,37
104,9,428
105,9,752
106,9,8
107,9,176
108,9,177
109,9,587
110,9,916
111,10,244
112,11,65
113,11,77
114,11,83
115,11,342
116,11,1009
117,11,344
118,11,1059
119,11,39
120,11,244
121,12,13
122,12,41
123,12,290
124,12,428
125,13,69
126,13,106
127,13,12
128,13,41
129,13,171
130,13,175
131,13,384
132,13,252
133,13,42
134,13,207
135,13,243
136,13,83
137,13,249
138,13,39
139,13,1054
140,13,67
141,13,779
142,13,14
143,13,215
144,13,474
145,13,476
146,13,1041
147,13,1052
148,13,1053
149,14,13
150,15,21
151,15,25
152,15,9
153,15,195
154,15,63
155,15,391
156,15,392
157,15,36
158,15,35
159,15,491
160,15,560
161,15,666
162,15,762
163,15,880
164,15,1029
165,15,34
166,15,494
167,15,914
168,15,592
169,15,16
170,15,331
171,15,986
172,15,1047
173,15,801
174,15,208
175,15,375
176,15,833
